sample_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.22774982,-0.048176076,0.3978036,0.13547975,0.24611434,-0.0071049053,0.4421325,0.049873322,0.2722068,0.00031661164,0.5885307,0.3194153,0.25113055,0.011968243,0.41952476,0.18435405,0.15792763,-0.015031366,0.40217635,-0.033558544
2,0.16136731,-0.060328707,0.4005402,0.1302461,0.18403044,-0.004304666,0.46728107,0.081198305,0.15899113,-0.002101579,0.6595182,0.3606084,0.103021376,0.013457404,0.48579466,0.23897246,0.14933018,-0.01698757,0.33626115,-0.027975535
3,0.17005587,-0.050416186,0.39421245,0.116800725,0.18709806,0.0005531871,0.46715105,0.11228512,0.16535573,-0.0037554174,0.69373053,0.41948783,0.138746,0.004953662,0.45691606,0.24564828,0.17021124,-0.06943162,0.28369448,-0.06914513
4,0.18750013,-0.061690684,0.37053657,0.11700192,0.16145115,0.0019347667,0.41639692,0.12217553,0.19941975,0.0004853844,0.5720954,0.38146457,0.24247868,0.013336888,0.4062845,0.23495564,0.23718758,-0.14934957,0.25129667,-0.10140667
5,0.21328267,-0.04930111,0.36001742,0.118355624,0.18093036,-0.005488234,0.42399746,0.12202424,0.20557114,0.00036292203,0.55884945,0.36163917,0.22618887,0.014031621,0.4261381,0.22787923,0.21770579,-0.10764299,0.3068068,-0.079140246
6,0.22737059,-0.023442721,0.4113536,0.13967815,0.17760816,-0.012035881,0.5377118,0.12797722,0.1827329,-0.008343447,0.72617096,0.38445765,0.30052945,-0.016339622,0.403778,0.19438766,0.18881631,-0.051400922,0.41221315,-0.07978557
7,0.2619621,-0.001790237,0.38243747,0.1193259,0.22177844,-0.002191236,0.53095114,0.1120347,0.25431135,-0.015956538,0.7197647,0.36899456,0.40286356,-0.010167782,0.41757855,0.20321389,0.19060047,-0.07072261,0.394174,-0.14621674
8,0.26350623,0.012260407,0.31427908,0.089281246,0.23939301,0.012555747,0.48667386,0.115334466,0.29268867,-0.009068245,0.609183,0.34919435,0.4078863,-0.017703764,0.388294,0.19740959,0.19148278,-0.13633141,0.32636148,-0.16650328
9,0.25369805,0.014501855,0.3041538,0.111288056,0.3320236,0.021067565,0.38642067,0.060557272,0.35303804,-0.0054664267,0.50187355,0.3210932,0.38863546,-0.0012961477,0.3622388,0.18618895,0.14117888,-0.13010524,0.3123297,-0.1159183
10,0.23639219,0.008293929,0.33926943,0.10599507,0.28962517,0.018309757,0.4482354,0.10221145,0.3407133,-0.0026370203,0.53700143,0.3182451,0.37665117,0.0084315725,0.35577664,0.19785282,0.10300982,-0.10359278,0.3086668,-0.13055389
11,0.2709093,0.016295461,0.37340623,0.1140507,0.26735058,0.009083891,0.521847,0.11750603,0.33774185,-0.0045297104,0.61307055,0.32894763,0.43180498,-0.0032732445,0.3430967,0.16327108,0.10795052,-0.04463933,0.3790448,-0.12157238
12,0.24443717,0.009558399,0.38596433,0.13252176,0.2870396,0.0081475815,0.5094576,0.13984078,0.32665226,-0.0067809857,0.63759327,0.3557699,0.4085896,-0.009537082,0.37141094,0.20864084,0.12722273,-0.033250827,0.36758167,-0.112235166
13,0.264099,0.00051797373,0.3239966,0.07478192,0.35343802,0.0010835326,0.37648296,0.07773357,0.3722817,-0.002643682,0.5298847,0.2945549,0.4284549,-0.0030258833,0.3178837,0.17269754,0.16179493,-0.06538158,0.32578668,-0.14801428
14,0.22033279,0.008081179,0.35535583,0.12685834,0.36515296,0.013678292,0.24576488,0.0044007953,0.36961016,0.0032618435,0.4486982,0.2978523,0.33533734,0.021190168,0.31856853,0.19570166,0.113208264,-0.057277963,0.33015594,-0.07374272
15,0.21686591,0.002958392,0.38710082,0.1380254,0.3519736,0.011585138,0.29974565,0.05804247,0.37675673,0.0059965984,0.4253654,0.29212555,0.29789346,0.021552468,0.33483472,0.20563878,0.06763291,-0.054294657,0.3405853,0.0031282706
16,0.28638795,0.0062537305,0.39412612,0.13487603,0.3582298,0.0015140845,0.35584882,0.06508548,0.3753702,-0.0025301997,0.4812115,0.30163264,0.29882875,0.0042326082,0.34545687,0.18885532,0.040096354,0.014607993,0.4063947,0.008867635
17,0.30714616,-0.010796608,0.33467236,0.1053689,0.35882878,0.00049513986,0.40086976,0.08713833,0.33174342,-0.005586861,0.509429,0.31610087,0.31218097,0.005103124,0.3030218,0.15634897,0.08047317,0.008397237,0.42080167,-0.043192495
18,0.3148136,-0.014178112,0.3082756,0.06834996,0.3472999,-0.0058697243,0.35515794,0.066727914,0.3128672,-0.00094365596,0.457323,0.27890563,0.26263836,0.0039548595,0.30729714,0.15902871,0.09438719,0.0054257303,0.40693015,-0.04300562
19,0.29916966,-0.028756108,0.36614308,0.09705316,0.29485083,-0.016586874,0.40139297,0.081419736,0.2718266,0.00094170525,0.44661745,0.27637088,0.23208758,0.0085641015,0.3043168,0.16231261,0.050396886,0.030841742,0.42597148,0.0013700566
20,0.26222396,-0.03378476,0.3740446,0.121006,0.2871774,-0.0078260265,0.43475035,0.10333809,0.2838719,0.003121312,0.45346078,0.26496318,0.2340167,0.004374166,0.32274547,0.1650958,0.03708855,0.033915266,0.41416037,0.02093372
21,0.24573947,-0.040454373,0.37297496,0.113139674,0.27384377,-0.010352812,0.41567773,0.07084801,0.28111342,0.007424944,0.46135074,0.25879225,0.25359187,0.00044191635,0.34446695,0.17222142,0.098637655,-0.014440876,0.36818165,-0.04270352
22,0.22142346,-0.030387888,0.3865247,0.10627863,0.26102793,-0.008994663,0.39168397,0.05496835,0.27909723,0.009206392,0.5164658,0.29287052,0.29004052,0.008176398,0.34936196,0.17895697,0.1169283,-0.036195025,0.35076374,-0.0955174
23,0.21317768,-0.042457044,0.4105264,0.12146073,0.2577637,-0.016131088,0.40144435,0.037482545,0.30859298,0.0029920265,0.4517182,0.24837813,0.28465614,0.008468135,0.35761648,0.18738317,0.09280553,-0.039647423,0.34993458,-0.059711814
24,0.23180464,-0.0505984,0.421399,0.14245482,0.22384882,-0.016949885,0.44746485,0.059410583,0.2906254,0.0033955646,0.4906755,0.26422173,0.29634082,0.0041625174,0.3558359,0.18158875,0.11606105,-0.03875552,0.36424738,-0.054087743
25,0.22615615,-0.043307442,0.3941096,0.12489704,0.19240811,-0.011170768,0.43839148,0.051920068,0.2818139,0.00074937486,0.44371256,0.240848,0.30865496,0.0009706326,0.32615563,0.17448983,0.14208236,-0.078078106,0.33681762,-0.062802084
